,new_cases
49563,0
69508,0
27859,1
56267,1
76147,1
26375,1
66297,1
48835,1
14561,1
41557,0
46296,1
22819,1
23743,0
13824,0
17760,1
53287,1
58349,0
10121,1
4779,1
70756,1
75998,0
45148,1
957,1
20091,1
17775,1
68879,1
26492,1
22941,1
4124,1
12802,1
65815,1
76596,1
19037,1
71366,1
41386,1
31878,1
70547,1
60331,1
35250,1
5442,1
72353,1
50324,1
17098,1
6391,1
20331,1
59623,1
9406,0
476,1
72888,1
3031,1
53663,0
70259,1
41550,0
10755,1
127,1
75559,1
5735,1
51634,1
14254,1
9682,1
543,1
21222,1
75246,1
10137,1
57633,0
2623,0
54425,1
41840,1
67397,1
18994,1
31662,1
60893,0
47238,1
63218,1
8913,1
51427,1
43816,1
55742,1
50133,1
39655,0
14946,1
55706,1
73132,1
58720,0
42069,1
41054,1
10254,1
54929,1
65809,0
75225,1
73962,0
66013,0
12586,1
12079,1
44202,0
11343,1
60406,1
70218,1
37243,1
32623,0
41244,0
48212,1
36488,1
34656,1
72820,1
40850,0
5941,1
22986,1
10901,1
5935,1
41635,0
61261,1
32604,0
14044,1
831,1
75000,1
31669,1
68313,0
45432,0
20217,1
14473,1
32752,1
25995,1
11540,0
41608,0
41332,1
38824,1
22384,1
9424,0
19414,1
14139,1
62397,1
1736,1
38642,1
71417,0
53563,1
71543,1
64840,1
37001,0
53845,0
31841,1
9767,0
21421,0
58109,0
54964,1
52676,1
53569,0
70394,1
45872,0
31435,0
64482,1
32722,1
70075,1
44330,0
652,1
38144,0
60755,0
47435,0
35267,1
20391,1
23370,1
44445,0
33976,1
16152,1
66620,0
10324,0
64015,0
29976,1
55210,1
66380,1
34221,1
18553,1
56304,1
61540,1
68123,1
61441,1
32157,1
62975,1
17079,1
65454,1
6651,1
47173,1
69279,0
22283,1
62431,1
62621,1
27294,1
58558,1
39416,1
18370,1
29599,1
36952,1
32300,0
32681,1
58350,0
12724,1
66045,0
46534,0
69360,0
53703,0
73749,1
42868,1
76363,1
59409,0
53498,1
45130,1
30250,1
57099,1
32999,1
41690,0
58033,0
52373,1
12799,1
56807,1
51061,1
69366,0
50143,1
18849,1
35601,1
16671,1
13267,1
16421,0
13863,0
48254,1
67690,0
52725,1
60683,1
48675,1
25359,1
56409,1
13498,1
8538,1
18709,1
6597,0
1768,0
35441,1
65775,0
14277,1
47222,1
34721,0
839,1
47412,1
75667,1
1278,1
4745,1
41110,1
15709,1
46893,1
16053,0
12604,1
59322,0
54958,1
28373,1
28983,1
5473,1
76045,1
54554,1
5762,1
35148,1
76571,1
51006,1
65298,1
68700,1
34170,1
15199,1
44918,1
35220,1
62322,1
52782,1
62611,1
13399,0
9234,1
40656,1
58840,0
23509,1
6717,1
54627,0
26323,1
4103,1
59358,0
50135,1
28995,1
67893,1
44646,1
58663,0
63682,1
27047,0
24546,0
24444,0
4656,1
25936,0
74596,1
29874,1
59272,0
31718,1
38412,1
25580,0
26501,1
29163,1
68245,0
68088,1
64614,1
7299,1
22835,1
40518,1
63187,0
34504,1
51912,1
53745,0
44868,1
75250,1
71282,1
48279,1
13436,0
28748,1
68462,0
64775,0
49320,0
40921,1
38424,1
69683,1
5034,1
52203,1
59280,1
68391,0
6347,1
35945,1
43684,0
58172,1
63694,1
15275,1
13600,0
28156,0
34042,1
34601,1
46191,0
8247,0
46063,1
39488,0
47035,1
11789,1
10021,1
18692,1
22868,1
67631,1
20144,1
41523,0
45012,1
1447,1
20427,1
23369,1
41564,0
19926,1
45259,1
65043,1
33141,1
65623,0
44332,0
36779,1
31197,0
67030,0
54683,0
51807,1
31399,0
6036,1
2009,1
11838,0
13122,1
31537,1
61376,1
9309,1
20228,1
44193,0
68378,0
3507,1
41306,0
10955,1
19683,0
37328,1
35795,1
10949,1
43593,0
1126,1
48010,1
58118,0
18002,1
21255,1
37587,1
16870,1
53087,1
59458,1
67185,0
72631,0
17382,1
14944,1
12476,0
72763,1
50271,1
61337,1
69098,0
51671,1
16071,1
59537,0
61986,0
43304,1
51314,1
906,1
69220,0
62547,1
7541,0
39813,1
66501,1
39196,1
21282,1
48430,1
27670,1
10105,1
42387,1
33589,1
43811,1
47181,1
51503,1
29498,0
18106,1
74210,0
39239,0
22811,1
59573,1
64395,1
69217,0
51439,1
12351,0
44030,1
46327,1
10813,1
13969,1
43559,1
56020,1
62422,1
6279,1
3620,1
12163,1
31194,0
31929,1
69738,1
8317,0
5879,1
12480,0
57675,0
55422,1
46400,1
56403,1
16323,0
24465,0
43984,1
16307,1
55058,1
13970,0
68220,1
42074,1
5540,1
35152,1
12547,0
29460,0
23445,1
14313,1
44076,1
71727,1
20453,1
27593,1
43672,0
57181,1
74479,1
69933,0
70107,1
65647,1
19602,0
64311,1
6606,0
58099,0
35578,0
23141,1
22373,1
28630,1
75728,0
56254,1
73495,1
23619,1
14594,1
29149,1
45926,0
67287,0
64259,1
52671,1
55704,1
38407,1
27067,0
5346,1
48551,1
71224,1
71790,0
8161,0
63683,1
8388,0
55623,1
2329,1
21476,1
18880,1
27908,0
37399,1
41292,1
65599,1
53491,1
54687,0
17746,1
6700,1
1285,1
76069,1
49362,0
72493,1
59556,1
24906,1
52381,0
7757,1
3003,1
66522,1
6392,0
62346,0
524,1
5134,1
20094,1
71879,1
51931,1
679,1
53928,1
56158,1
25578,0
52599,1
23201,1
55699,1
18237,1
60647,1
48243,1
27615,1
43070,1
9553,0
6264,1
29380,0
19251,1
15603,1
5449,1
45762,1
71327,1
57501,1
32455,0
54351,0
48052,0
20933,1
29774,1
64875,1
29438,0
67814,0
46016,1
61359,1
51841,1
67795,0
71203,1
60685,1
23413,1
64452,0
9051,1
1402,1
5977,1
65301,1
41402,1
22848,1
24981,1
47696,0
45064,1
27936,1
30764,1
28120,0
30296,1
18441,1
71916,1
71815,0
14486,1
3495,1
25861,0
16680,1
68521,0
76026,1
67949,0
43580,1
68858,1
6792,1
43219,0
10574,0
12082,1
70201,0
23754,1
49566,0
59569,1
6994,1
67759,0
6757,1
21133,1
73112,1
74800,1
41107,0
33082,1
74250,0
62140,1
68417,0
54049,1
69480,1
59881,1
14504,1
71752,1
24418,0
66442,1
39193,0
74028,0
35543,0
68613,0
36385,1
53842,0
13033,1
23176,1
4145,1
47432,1
39083,0
53217,1
49128,1
31844,1
42831,1
10697,1
15124,1
20818,1
64009,0
17638,1
65186,0
31224,1
70214,1
59774,1
36661,1
50242,1
3799,1
24348,0
70460,0
71036,0
59210,0
20738,1
58438,0
57507,1
46318,1
57601,0
13179,1
